Letter,Unicode,Unicode Name,RuneString,MachineString
ം,U+0D02,"MALAYALAM SIGN ANUSVARA",M,M
ഃ,U+0D03,"MALAYALAM SIGN VISARGA",HA,HA
അ,U+0D05,"MALAYALAM LETTER A",A,A
ആ,U+0D06,"MALAYALAM LETTER AA",AA,AA
ഇ,U+0D07,"MALAYALAM LETTER I",I,I
ഈ,U+0D08,"MALAYALAM LETTER II",EE,EE
ഉ,U+0D09,"MALAYALAM LETTER U",U,U
ഊ,U+0D0A,"MALAYALAM LETTER UU",OO,OO
ഋ,U+0D0B,"MALAYALAM LETTER VOCALIC R",R,R
ൠ,U+0D0C,"MALAYALAM LETTER VOCALIC RR",RR,RR
എ,U+0D0E,"MALAYALAM LETTER E",E,E
ഏ,U+0D0F,"MALAYALAM LETTER EE",E,E
ഐ,U+0D10,"MALAYALAM LETTER AI",AI,AI
ഒ,U+0D12,"MALAYALAM LETTER O",O,O
ഓ,U+0D13,"MALAYALAM LETTER OO",O,O
ഔ,U+0D14,"MALAYALAM LETTER AU",AU,AU
ക,U+0D15,"MALAYALAM LETTER KA",KA,KA
ഖ,U+0D16,"MALAYALAM LETTER KHA",KHA,KHA
ഗ,U+0D17,"MALAYALAM LETTER GA",GA,GA
ഘ,U+0D18,"MALAYALAM LETTER GHA",GHA,GHA
ങ,U+0D19,"MALAYALAM LETTER NGA",NGA,NGA
ച,U+0D1A,"MALAYALAM LETTER CA",CA,CA
ഛ,U+0D1B,"MALAYALAM LETTER CHA",CHA,CHA
ജ,U+0D1C,"MALAYALAM LETTER JA",JA,JA
ഝ,U+0D1D,"MALAYALAM LETTER JHA",JHA,JHA
ഞ,U+0D1E,"MALAYALAM LETTER NYA",NJA,NJA
ട,U+0D1F,"MALAYALAM LETTER TTA","[TT]A",ƮA
ഠ,U+0D20,"MALAYALAM LETTER TTHA","[TT]HA",ƮHA
ഡ,U+0D21,"MALAYALAM LETTER DDA","[DD]A",ƊA
ഢ,U+0D22,"MALAYALAM LETTER DDHA","[DD]HA",ƊHA
ണ,U+0D23,"MALAYALAM LETTER NNA","[NN]A",ƝA
ത,U+0D24,"MALAYALAM LETTER TA",TA,TA
ഥ,U+0D25,"MALAYALAM LETTER THA",THA,THA
ദ,U+0D26,"MALAYALAM LETTER DA",DA,DA
ധ,U+0D27,"MALAYALAM LETTER DHA",DHA,DHA
ന,U+0D28,"MALAYALAM LETTER NA",NA,NA
പ,U+0D2A,"MALAYALAM LETTER PA",PA,PA
ഫ,U+0D2B,"MALAYALAM LETTER PHA",PHA,PHA
ബ,U+0D2C,"MALAYALAM LETTER BA",BA,BA
ഭ,U+0D2D,"MALAYALAM LETTER BHA",BHA,BHA
മ,U+0D2E,"MALAYALAM LETTER MA",MA,MA
യ,U+0D2F,"MALAYALAM LETTER YA",YA,YA
ര,U+0D30,"MALAYALAM LETTER RA",RA,RA
റ,U+0D31,"MALAYALAM LETTER RRA",RRA,RRA
ല,U+0D32,"MALAYALAM LETTER LA",LA,LA
ള,U+0D33,"MALAYALAM LETTER LLA","[LL]A",ȽA
ഴ,U+0D34,"MALAYALAM LETTER LLLA",ZHA,ZHA
വ,U+0D35,"MALAYALAM LETTER VA",VA,VA
ശ,U+0D36,"MALAYALAM LETTER SHA",SHA,SHA
ഷ,U+0D37,"MALAYALAM LETTER SSA",SSHA,SSHA
സ,U+0D38,"MALAYALAM LETTER SA",SA,SA
ഹ,U+0D39,"MALAYALAM LETTER HA",HA,HA
ാ,U+0D3E,"MALAYALAM VOWEL SIGN AA",AA,AA
ി,U+0D3F,"MALAYALAM VOWEL SIGN I",I,I
ീ,U+0D40,"MALAYALAM VOWEL SIGN II",EE,EE
ു,U+0D41,"MALAYALAM VOWEL SIGN U",U,U
ൂ,U+0D42,"MALAYALAM VOWEL SIGN UU",OO,OO
ൃ,U+0D43,"MALAYALAM VOWEL SIGN VOCALIC R",R,R
ൄ,U+0D44,"MALAYALAM VOWEL SIGN VOCALIC RR",RR,RR
െ,U+0D46,"MALAYALAM VOWEL SIGN E",E,E
േ,U+0D47,"MALAYALAM VOWEL SIGN EE",AE,AE
ൈ,U+0D48,"MALAYALAM VOWEL SIGN AI",AI,AI
ൊ,U+0D4A,"MALAYALAM VOWEL SIGN O",O,O
ോ,U+0D4B,"MALAYALAM VOWEL SIGN OO",OE,OE
ൗ,U+0D4C,"MALAYALAM VOWEL SIGN AU",AU,AU
്,U+0D4D,"MALAYALAM SIGN VIRAMA",U,U
ൔ,U+0D54,"MALAYALAM LETTER CHILLU M",M,M
ൕ,U+0D55,"MALAYALAM LETTER CHILLU Y",Y,Y
ൖ,U+0D56,"MALAYALAM LETTER CHILLU LLL",ZH,ZH
ൺ,U+0D7A,"MALAYALAM LETTER CHILLU NN","[NN]",Ɲ
ൻ,U+0D7B,"MALAYALAM LETTER CHILLU N",N,N
ർ,U+0D7C,"MALAYALAM LETTER CHILLU RR",RR,RR
ൽ,U+0D7D,"MALAYALAM LETTER CHILLU L",L,L
ൾ,U+0D7E,"MALAYALAM LETTER CHILLU LL","[LL]",Ƚ
ൿ,U+0D7F,"MALAYALAM LETTER CHILLU K",K,K
,,,,,
റ്റ,"U+0D31 U+0D4D U+0D31","Ligature ṭa (ṟa + virama + ṟa)","[TT]A",ƮA
ൻ്റ,"U+0D7B U+0D4D U+0D31","Ligature nṭa (chillu-n + virama + ṟa)","N[TT]A",NƮA
ന്റ,"U+0D28 U+0D4D U+0D31","Alternative ligature nṭa (n + virama + ṟa)","N[TT]A",NƮA
